"","Subject","Condition","ListNum","Block","Recall","Direction","Jol"
"86",77,"A",6,1,0,"F",78
"87",77,"A",7,1,0,"F",76
"88",77,"A",8,1,1,"F",95
"89",77,"A",9,1,1,"F",99
"90",77,"A",10,1,1,"F",40
"91",77,"A",11,1,1,"F",56
"92",77,"A",12,1,1,"F",28
"93",77,"A",13,1,1,"F",90
"94",77,"A",14,1,1,"F",65
"95",77,"A",15,1,1,"F",76
"96",77,"A",16,1,1,"F",99
"97",77,"A",17,1,1,"F",99
"98",77,"A",18,1,1,"F",89
"99",77,"A",19,1,1,"F",34
"100",77,"A",20,1,1,"F",24
"101",77,"A",21,1,1,"B",43
"102",77,"A",22,1,0,"B",13
"103",77,"A",23,1,1,"B",70
"104",77,"A",24,1,0,"B",9
"105",77,"A",25,1,0,"B",67
"106",77,"A",26,1,1,"B",55
"107",77,"A",27,1,0,"B",94
"108",77,"A",28,1,1,"B",100
"109",77,"A",29,1,1,"B",48
"110",77,"A",30,1,0,"B",60
"111",77,"A",31,1,0,"B",78
"112",77,"A",32,1,0,"B",89
"113",77,"A",33,1,0,"B",99
"114",77,"A",34,1,0,"B",80
"115",77,"A",35,1,0,"B",88
"116",77,"A",36,1,1,"B",70
"117",77,"A",37,1,0,"B",76
"118",77,"A",38,1,1,"B",56
"119",77,"A",39,1,1,"B",93
"120",77,"A",40,1,0,"B",77
"121",77,"A",41,1,1,"S",76
"122",77,"A",42,1,0,"S",98
"123",77,"A",43,1,0,"S",98
"124",77,"A",44,1,1,"S",87
"125",77,"A",45,1,1,"S",78
"126",77,"A",46,1,0,"S",88
"127",77,"A",47,1,0,"S",90
"128",77,"A",48,1,1,"S",70
"129",77,"A",49,1,1,"S",55
"130",77,"A",50,1,1,"S",67
"131",77,"A",51,1,1,"S",10
"132",77,"A",52,1,0,"S",89
"133",77,"A",53,1,1,"S",48
"134",77,"A",54,1,1,"S",64
"135",77,"A",55,1,1,"S",80
"136",77,"A",56,1,1,"S",2
"137",77,"A",57,1,1,"S",75
"138",77,"A",58,1,1,"S",3
"139",77,"A",59,1,0,"S",56
"140",77,"A",60,1,1,"S",2
"141",77,"A",61,1,0,"U",2
"142",77,"A",62,1,0,"U",2
"143",77,"A",63,1,0,"U",12
"144",77,"A",64,1,0,"U",65
"145",77,"A",65,1,0,"U",17
"146",77,"A",66,1,0,"U",14
"147",77,"A",67,1,0,"U",75
"148",77,"A",68,1,0,"U",5
"149",77,"A",69,1,0,"U",6
"150",77,"A",70,1,1,"U",12
"151",77,"A",71,1,0,"U",1
"152",77,"A",72,1,0,"U",66
"153",77,"A",73,1,0,"U",56
"154",77,"A",74,1,0,"U",3
"155",77,"A",75,1,0,"U",9
"156",77,"A",76,1,0,"U",20
"157",77,"A",77,1,0,"U",3
"158",77,"A",78,1,0,"U",98
"159",77,"A",79,1,1,"U",3
"160",77,"A",80,1,0,"U",89
"161",81,"A",1,1,1,"F",100
"162",81,"A",2,1,1,"F",70
"163",81,"A",3,1,1,"F",70
"164",81,"A",4,1,1,"F",100
"165",81,"A",5,1,1,"F",100
"166",81,"A",6,1,1,"F",30
"167",81,"A",7,1,1,"F",100
"168",81,"A",8,1,0,"F",95
"169",81,"A",9,1,1,"F",97
"170",81,"A",10,1,1,"F",100
"171",81,"A",11,1,0,"F",95
"172",81,"A",12,1,1,"F",50
"173",81,"A",13,1,1,"F",100
"174",81,"A",14,1,1,"F",100
"175",81,"A",15,1,1,"F",100
"176",81,"A",16,1,1,"F",92
"177",81,"A",17,1,1,"F",50
"178",81,"A",18,1,1,"F",75
"179",81,"A",19,1,1,"F",100
"180",81,"A",20,1,1,"F",80
"181",81,"A",21,1,1,"B",100
"182",81,"A",22,1,1,"B",85
"183",81,"A",23,1,1,"B",96
"184",81,"A",24,1,0,"B",100
"185",81,"A",25,1,1,"B",73
"186",81,"A",26,1,1,"B",100
"187",81,"A",27,1,1,"B",55
"188",81,"A",28,1,0,"B",77
"189",81,"A",29,1,1,"B",100
"190",81,"A",30,1,1,"B",100
"191",81,"A",31,1,1,"B",50
"192",81,"A",32,1,1,"B",100
"193",81,"A",33,1,0,"B",89
"194",81,"A",34,1,0,"B",23
"195",81,"A",35,1,0,"B",62
"196",81,"A",36,1,1,"B",100
"197",81,"A",37,1,1,"B",100
"198",81,"A",38,1,1,"B",100
"199",81,"A",39,1,1,"B",95
"200",81,"A",40,1,1,"B",100
"201",81,"A",41,1,1,"S",100
"202",81,"A",42,1,1,"S",100
"203",81,"A",43,1,0,"S",88
"204",81,"A",44,1,1,"S",100
"205",81,"A",45,1,0,"S",97
"206",81,"A",46,1,1,"S",55
"207",81,"A",47,1,0,"S",0
"208",81,"A",48,1,1,"S",60
"209",81,"A",49,1,1,"S",100
"210",81,"A",50,1,0,"S",89
"211",81,"A",51,1,1,"S",100
"212",81,"A",52,1,1,"S",100
"213",81,"A",53,1,1,"S",50
"214",81,"A",54,1,1,"S",100
"215",81,"A",55,1,1,"S",100
"216",81,"A",56,1,1,"S",100
"217",81,"A",57,1,1,"S",90
"218",81,"A",58,1,1,"S",0
"219",81,"A",59,1,1,"S",0
"220",81,"A",60,1,1,"S",15
"221",81,"A",61,1,0,"U",32
"222",81,"A",62,1,0,"U",40
"223",81,"A",63,1,1,"U",25
"224",81,"A",64,1,1,"U",0
"225",81,"A",65,1,0,"U",20
"226",81,"A",66,1,0,"U",1
"227",81,"A",67,1,1,"U",60
"228",81,"A",68,1,0,"U",22
"229",81,"A",69,1,0,"U",30
"230",81,"A",70,1,1,"U",45
"231",81,"A",71,1,1,"U",8
"232",81,"A",72,1,0,"U",20
"233",81,"A",73,1,0,"U",10
"234",81,"A",74,1,0,"U",0
"235",81,"A",75,1,0,"U",2
"236",81,"A",76,1,0,"U",5
"237",81,"A",77,1,0,"U",0
"238",81,"A",78,1,0,"U",78
"239",81,"A",79,1,0,"U",10
"240",81,"A",80,1,0,"U",75
"241",85,"A",1,1,1,"F",100
"242",85,"A",2,1,1,"F",80
"243",85,"A",3,1,1,"F",91
"244",85,"A",4,1,1,"F",100
"245",85,"A",5,1,0,"F",96
"246",85,"A",6,1,1,"F",88
"247",85,"A",7,1,0,"F",100
"248",85,"A",8,1,1,"F",74
"249",85,"A",9,1,1,"F",74
"250",85,"A",10,1,1,"F",100
"251",85,"A",11,1,1,"F",92
"252",85,"A",12,1,1,"F",55
"253",85,"A",13,1,1,"F",100
"254",85,"A",14,1,1,"F",70
"255",85,"A",15,1,1,"F",100
"256",85,"A",16,1,1,"F",100
"257",85,"A",17,1,1,"F",100
"258",85,"A",18,1,1,"F",70
"259",85,"A",19,1,1,"F",12
"260",85,"A",20,1,1,"F",50
"261",85,"A",21,1,0,"B",77
"262",85,"A",22,1,0,"B",100
"263",85,"A",23,1,1,"B",100
"264",85,"A",24,1,0,"B",1
"265",85,"A",25,1,1,"B",10
"266",85,"A",26,1,0,"B",55
"267",85,"A",27,1,1,"B",100
"268",85,"A",28,1,1,"B",100
"269",85,"A",29,1,0,"B",60
"270",85,"A",30,1,1,"B",87
"271",85,"A",31,1,1,"B",100
"272",85,"A",32,1,1,"B",100
"273",85,"A",33,1,0,"B",100
"274",85,"A",34,1,1,"B",95
"275",85,"A",35,1,0,"B",50
"276",85,"A",36,1,1,"B",100
"277",85,"A",37,1,1,"B",100
"278",85,"A",38,1,1,"B",100
"279",85,"A",39,1,1,"B",100
"280",85,"A",40,1,1,"B",100
"281",85,"A",41,1,1,"S",100
"282",85,"A",42,1,1,"S",100
"283",85,"A",43,1,0,"S",100
"284",85,"A",44,1,1,"S",90
"285",85,"A",45,1,1,"S",100
"286",85,"A",46,1,1,"S",99
"287",85,"A",47,1,1,"S",80
"288",85,"A",48,1,1,"S",100
"289",85,"A",49,1,1,"S",100
"290",85,"A",50,1,1,"S",100
"291",85,"A",51,1,0,"S",10
"292",85,"A",52,1,1,"S",65
"293",85,"A",53,1,1,"S",100
"294",85,"A",54,1,1,"S",100
"295",85,"A",55,1,1,"S",83
"296",85,"A",56,1,1,"S",30
"297",85,"A",57,1,1,"S",89
"298",85,"A",58,1,1,"S",2
"299",85,"A",59,1,1,"S",30
"300",85,"A",60,1,1,"S",12
"301",85,"A",61,1,0,"U",1
"302",85,"A",62,1,0,"U",1
"303",85,"A",63,1,0,"U",44
"304",85,"A",64,1,0,"U",36
"305",85,"A",65,1,0,"U",20
"306",85,"A",66,1,0,"U",12
"307",85,"A",67,1,0,"U",100
"308",85,"A",68,1,0,"U",2
"309",85,"A",69,1,1,"U",34
"310",85,"A",70,1,0,"U",23
"311",85,"A",71,1,0,"U",20
"312",85,"A",72,1,0,"U",20
"313",85,"A",73,1,0,"U",60
"314",85,"A",74,1,0,"U",30
"315",85,"A",75,1,0,"U",49
"316",85,"A",76,1,0,"U",15
"317",85,"A",77,1,0,"U",2
"318",85,"A",78,1,0,"U",100
"319",85,"A",79,1,0,"U",85
"320",85,"A",80,1,0,"U",89
"321",89,"A",1,1,0,"F",100
"322",89,"A",2,1,1,"F",75
"323",89,"A",3,1,0,"F",80
"324",89,"A",4,1,0,"F",100
"325",89,"A",5,1,1,"F",90
"326",89,"A",6,1,0,"F",100
"327",89,"A",7,1,0,"F",100
"328",89,"A",8,1,0,"F",80
"329",89,"A",9,1,0,"F",75
"330",89,"A",10,1,1,"F",100
"331",89,"A",11,1,0,"F",100
"332",89,"A",12,1,1,"F",100
"333",89,"A",13,1,0,"F",100
"334",89,"A",14,1,1,"F",100
"335",89,"A",15,1,1,"F",100
"336",89,"A",16,1,0,"F",100
"337",89,"A",17,1,1,"F",95
"338",89,"A",18,1,1,"F",100
"339",89,"A",19,1,1,"F",100
"340",89,"A",20,1,1,"F",100
"341",89,"A",21,1,1,"B",80
"342",89,"A",22,1,0,"B",100
"343",89,"A",23,1,1,"B",100
"344",89,"A",24,1,0,"B",100
"345",89,"A",25,1,0,"B",90
"346",89,"A",26,1,1,"B",100
"347",89,"A",27,1,1,"B",75
"348",89,"A",28,1,1,"B",80
"349",89,"A",29,1,1,"B",75
"350",89,"A",30,1,0,"B",100
"351",89,"A",31,1,0,"B",95
"352",89,"A",32,1,0,"B",100
"353",89,"A",33,1,0,"B",100
"354",89,"A",34,1,0,"B",75
"355",89,"A",35,1,0,"B",80
"356",89,"A",36,1,0,"B",100
"357",89,"A",37,1,0,"B",80
"358",89,"A",38,1,0,"B",100
"359",89,"A",39,1,1,"B",100
"360",89,"A",40,1,0,"B",80
"361",89,"A",41,1,1,"S",100
"362",89,"A",42,1,1,"S",100
"363",89,"A",43,1,0,"S",80
"364",89,"A",44,1,0,"S",100
"365",89,"A",45,1,0,"S",100
"366",89,"A",46,1,0,"S",75
"367",89,"A",47,1,1,"S",100
"368",89,"A",48,1,1,"S",80
"369",89,"A",49,1,1,"S",100
"370",89,"A",50,1,1,"S",100
"371",89,"A",51,1,0,"S",95
"372",89,"A",52,1,1,"S",90
"373",89,"A",53,1,1,"S",80
"374",89,"A",54,1,1,"S",100
"375",89,"A",55,1,0,"S",80
"376",89,"A",56,1,1,"S",100
"377",89,"A",57,1,1,"S",100
"378",89,"A",58,1,1,"S",25
"379",89,"A",59,1,0,"S",25
"380",89,"A",60,1,1,"S",25
"381",89,"A",61,1,0,"U",25
"382",89,"A",62,1,0,"U",25
"383",89,"A",63,1,0,"U",25
"384",89,"A",64,1,0,"U",50
"385",89,"A",65,1,0,"U",50
"386",89,"A",66,1,0,"U",25
"387",89,"A",67,1,0,"U",50
"388",89,"A",68,1,0,"U",75
"389",89,"A",69,1,0,"U",50
"390",89,"A",70,1,0,"U",50
"391",89,"A",71,1,0,"U",50
"392",89,"A",72,1,0,"U",25
"393",89,"A",73,1,0,"U",25
"394",89,"A",74,1,0,"U",50
"395",89,"A",75,1,0,"U",25
"396",89,"A",76,1,0,"U",50
"397",89,"A",77,1,0,"U",75
"398",89,"A",78,1,0,"U",100
"399",89,"A",79,1,0,"U",25
"400",89,"A",80,1,0,"U",100
"401",93,"A",1,1,1,"F",50
"402",93,"A",2,1,1,"F",80
"403",93,"A",3,1,1,"F",50
"404",93,"A",4,1,1,"F",95
"405",93,"A",5,1,1,"F",80
"406",93,"A",6,1,0,"F",50
"407",93,"A",7,1,0,"F",25
"408",93,"A",8,1,1,"F",95
"409",93,"A",9,1,1,"F",50
"410",93,"A",10,1,1,"F",95
"411",93,"A",11,1,1,"F",80
"412",93,"A",12,1,1,"F",50
"413",93,"A",13,1,1,"F",95
"414",93,"A",14,1,1,"F",90
"415",93,"A",15,1,1,"F",80
"416",93,"A",16,1,1,"F",95
"417",93,"A",17,1,1,"F",85
"418",93,"A",18,1,1,"F",80
"419",93,"A",19,1,1,"F",50
"420",93,"A",20,1,1,"F",25
"421",93,"A",21,1,1,"B",95
"422",93,"A",22,1,1,"B",95
"423",93,"A",23,1,1,"B",50
"424",93,"A",24,1,0,"B",50
"425",93,"A",25,1,0,"B",50
"426",93,"A",26,1,0,"B",80
"427",93,"A",27,1,0,"B",95
"428",93,"A",28,1,0,"B",80
"429",93,"A",29,1,1,"B",80
"430",93,"A",30,1,0,"B",95
"431",93,"A",31,1,1,"B",95
"432",93,"A",32,1,1,"B",95
"433",93,"A",33,1,0,"B",50
"434",93,"A",34,1,0,"B",95
"435",93,"A",35,1,0,"B",80
"436",93,"A",36,1,1,"B",85
"437",93,"A",37,1,1,"B",100
"438",93,"A",38,1,1,"B",100
"439",93,"A",39,1,1,"B",95
"440",93,"A",40,1,1,"B",50
"441",93,"A",41,1,1,"S",50
"442",93,"A",42,1,1,"S",50
"443",93,"A",43,1,1,"S",100
"444",93,"A",44,1,1,"S",80
"445",93,"A",45,1,1,"S",95
"446",93,"A",46,1,0,"S",95
"447",93,"A",47,1,1,"S",95
"448",93,"A",48,1,1,"S",90
"449",93,"A",49,1,1,"S",85
"450",93,"A",50,1,1,"S",50
"451",93,"A",51,1,1,"S",50
"452",93,"A",52,1,1,"S",80
"453",93,"A",53,1,1,"S",95
"454",93,"A",54,1,1,"S",50
"455",93,"A",55,1,1,"S",80
"456",93,"A",56,1,1,"S",0
"457",93,"A",57,1,1,"S",100
"458",93,"A",58,1,1,"S",0
"459",93,"A",59,1,1,"S",50
"460",93,"A",60,1,1,"S",25
"461",93,"A",61,1,0,"U",25
"462",93,"A",62,1,0,"U",50
"463",93,"A",63,1,0,"U",0
"464",93,"A",64,1,1,"U",50
"465",93,"A",65,1,0,"U",25
"466",93,"A",66,1,1,"U",15
"467",93,"A",67,1,1,"U",80
"468",93,"A",68,1,1,"U",25
"469",93,"A",69,1,0,"U",50
"470",93,"A",70,1,1,"U",10
"471",93,"A",71,1,0,"U",20
"472",93,"A",72,1,1,"U",25
"473",93,"A",73,1,1,"U",50
"474",93,"A",74,1,1,"U",25
"475",93,"A",75,1,0,"U",50
"476",93,"A",76,1,0,"U",25
"477",93,"A",77,1,1,"U",50
"478",93,"A",78,1,0,"U",90
"479",93,"A",79,1,0,"U",90
"480",93,"A",80,1,0,"U",80
"481",97,"A",1,1,1,"F",100
