Subject,Condition,ListNum,Jol,Recall,Direction,block
17,A,q29,15,0,B,1
17,A,q30,50,0,B,1
17,A,q31,40,100,B,1
17,A,q32,90,0,B,1
17,A,q33,80,0,B,1
17,A,q34,80,0,B,1
17,A,q35,90,0,B,1
17,A,q36,50,0,B,1
17,A,q37,70,0,B,1
17,A,q38,10,0,B,1
17,A,q39,55,100,B,1
17,A,q40,80,0,B,1
17,A,q41,80,0,S,1
17,A,q42,20,0,S,1
17,A,q43,10,0,S,1
17,A,q44,80,0,S,1
17,A,q45,60,100,S,1
17,A,q46,50,100,S,1
17,A,q47,90,100,S,1
17,A,q48,60,100,S,1
17,A,q49,100,100,S,1
17,A,q50,40,0,S,1
17,A,q51,70,100,S,1
17,A,q52,50,100,S,1
17,A,q53,95,100,S,1
17,A,q54,60,0,S,1
17,A,q55,60,0,S,1
17,A,q56,80,0,S,1
17,A,q57,80,100,S,1
17,A,q58,90,100,S,1
17,A,q59,90,0,S,1
17,A,q60,60,100,S,1
17,A,q61,10,0,U,1
17,A,q62,5,0,U,1
17,A,q63,5,0,U,1
17,A,q64,5,0,U,1
17,A,q65,10,0,U,1
17,A,q66,5,0,U,1
17,A,q67,10,0,U,1
17,A,q68,5,0,U,1
17,A,q69,0,0,U,1
17,A,q70,10,0,U,1
17,A,q71,5,0,U,1
17,A,q72,20,0,U,1
17,A,q73,10,0,U,1
17,A,q74,10,0,U,1
17,A,q75,5,0,U,1
17,A,q76,5,0,U,1
17,A,q77,0,0,U,1
17,A,q78,5,0,U,1
17,A,q79,10,0,U,1
17,A,q80,5,0,U,1
17,A,q81,25,0,F,2
17,A,q82,25,0,F,2
17,A,q83,30,100,F,2
17,A,q84,25,0,F,2
17,A,q85,45,100,F,2
17,A,q86,0,0,F,2
17,A,q87,50,0,F,2
17,A,q88,30,0,F,2
17,A,q89,25,0,F,2
17,A,q90,45,0,F,2
17,A,q91,50,100,F,2
17,A,q92,50,0,F,2
17,A,q93,40,100,F,2
17,A,q94,45,100,F,2
17,A,q95,30,100,F,2
17,A,q96,45,0,F,2
17,A,q97,5,0,F,2
17,A,q98,40,100,F,2
17,A,q99,30,100,F,2
17,A,q100,50,100,F,2
17,A,q101,50,0,B,2
17,A,q102,40,100,B,2
17,A,q103,50,0,B,2
17,A,q104,30,100,B,2
17,A,q105,40,0,B,2
17,A,q106,45,100,B,2
17,A,q107,20,0,B,2
