"","Subject","Condition","ListNum","Block","Recall","Subject","Condition","ListNum","Block","Direction","Jol"
"37",37,"A",37,1,0,37,"A",37,1,"B",23
"38",37,"A",38,1,1,37,"A",38,1,"B",69
"39",37,"A",39,1,0,37,"A",39,1,"B",70
"40",37,"A",40,1,0,37,"A",40,1,"B",77
"41",37,"A",41,1,0,37,"A",41,1,"S",88
"42",37,"A",42,1,0,37,"A",42,1,"S",98
"43",37,"A",43,1,0,37,"A",43,1,"S",90
"44",37,"A",44,1,0,37,"A",44,1,"S",79
"45",37,"A",45,1,1,37,"A",45,1,"S",90
"46",37,"A",46,1,1,37,"A",46,1,"S",7
"47",37,"A",47,1,1,37,"A",47,1,"S",89
"48",37,"A",48,1,0,37,"A",48,1,"S",90
"49",37,"A",49,1,0,37,"A",49,1,"S",98
"50",37,"A",50,1,1,37,"A",50,1,"S",70
"51",37,"A",51,1,1,37,"A",51,1,"S",80
"52",37,"A",52,1,1,37,"A",52,1,"S",45
"53",37,"A",53,1,0,37,"A",53,1,"S",89
"54",37,"A",54,1,0,37,"A",54,1,"S",35
"55",37,"A",55,1,1,37,"A",55,1,"S",80
"56",37,"A",56,1,0,37,"A",56,1,"S",55
"57",37,"A",57,1,1,37,"A",57,1,"S",78
"58",37,"A",58,1,1,37,"A",58,1,"S",98
"59",37,"A",59,1,1,37,"A",59,1,"S",80
"60",37,"A",60,1,1,37,"A",60,1,"S",70
"61",37,"A",61,1,0,37,"A",61,1,"U",45
"62",37,"A",62,1,0,37,"A",62,1,"U",45
"63",37,"A",63,1,1,37,"A",63,1,"U",23
"64",37,"A",64,1,0,37,"A",64,1,"U",23
"65",37,"A",65,1,0,37,"A",65,1,"U",45
"66",37,"A",66,1,0,37,"A",66,1,"U",22
"67",37,"A",67,1,0,37,"A",67,1,"U",42
"68",37,"A",68,1,0,37,"A",68,1,"U",23
"69",37,"A",69,1,0,37,"A",69,1,"U",34
"70",37,"A",70,1,0,37,"A",70,1,"U",12
"71",37,"A",71,1,0,37,"A",71,1,"U",12
"72",37,"A",72,1,0,37,"A",72,1,"U",45
"73",37,"A",73,1,0,37,"A",73,1,"U",12
"74",37,"A",74,1,1,37,"A",74,1,"U",25
"75",37,"A",75,1,0,37,"A",75,1,"U",23
"76",37,"A",76,1,0,37,"A",76,1,"U",50
"77",37,"A",77,1,0,37,"A",77,1,"U",23
"78",37,"A",78,1,0,37,"A",78,1,"U",45
"79",37,"A",79,1,0,37,"A",79,1,"U",12
"80",37,"A",80,1,1,37,"A",80,1,"U",45
"81",49,"A",1,1,0,49,"A",1,1,"F",20
"82",49,"A",2,1,0,49,"A",2,1,"F",100
"83",49,"A",3,1,1,49,"A",3,1,"F",78
"84",49,"A",4,1,0,49,"A",4,1,"F",80
"85",49,"A",5,1,0,49,"A",5,1,"F",100
"86",49,"A",6,1,1,49,"A",6,1,"F",100
"87",49,"A",7,1,0,49,"A",7,1,"F",100
"88",49,"A",8,1,1,49,"A",8,1,"F",100
"89",49,"A",9,1,1,49,"A",9,1,"F",100
"90",49,"A",10,1,1,49,"A",10,1,"F",100
"91",49,"A",11,1,0,49,"A",11,1,"F",30
"92",49,"A",12,1,0,49,"A",12,1,"F",78
"93",49,"A",13,1,0,49,"A",13,1,"F",100
"94",49,"A",14,1,1,49,"A",14,1,"F",100
"95",49,"A",15,1,1,49,"A",15,1,"F",100
"96",49,"A",16,1,0,49,"A",16,1,"F",100
"97",49,"A",17,1,1,49,"A",17,1,"F",100
"98",49,"A",18,1,0,49,"A",18,1,"F",43
"99",49,"A",19,1,1,49,"A",19,1,"F",100
"100",49,"A",20,1,1,49,"A",20,1,"F",100
"101",49,"A",21,1,0,49,"A",21,1,"B",89
"102",49,"A",22,1,1,49,"A",22,1,"B",100
"103",49,"A",23,1,1,49,"A",23,1,"B",90
"104",49,"A",24,1,0,49,"A",24,1,"B",100
"105",49,"A",25,1,1,49,"A",25,1,"B",100
"106",49,"A",26,1,0,49,"A",26,1,"B",100
"107",49,"A",27,1,1,49,"A",27,1,"B",100
"108",49,"A",28,1,0,49,"A",28,1,"B",0
"109",49,"A",29,1,0,49,"A",29,1,"B",100
"110",49,"A",30,1,0,49,"A",30,1,"B",100
"111",49,"A",31,1,0,49,"A",31,1,"B",60
"112",49,"A",32,1,1,49,"A",32,1,"B",89
"113",49,"A",33,1,0,49,"A",33,1,"B",100
"114",49,"A",34,1,0,49,"A",34,1,"B",90
"115",49,"A",35,1,0,49,"A",35,1,"B",100
"116",49,"A",36,1,0,49,"A",36,1,"B",100
"117",49,"A",37,1,1,49,"A",37,1,"B",100
"118",49,"A",38,1,1,49,"A",38,1,"B",100
"119",49,"A",39,1,1,49,"A",39,1,"B",100
"120",49,"A",40,1,0,49,"A",40,1,"B",25
"121",49,"A",41,1,1,49,"A",41,1,"S",100
"122",49,"A",42,1,0,49,"A",42,1,"S",100
"123",49,"A",43,1,1,49,"A",43,1,"S",100
"124",49,"A",44,1,0,49,"A",44,1,"S",100
"125",49,"A",45,1,1,49,"A",45,1,"S",100
"126",49,"A",46,1,0,49,"A",46,1,"S",45
"127",49,"A",47,1,0,49,"A",47,1,"S",75
"128",49,"A",48,1,1,49,"A",48,1,"S",90
"129",49,"A",49,1,1,49,"A",49,1,"S",100
"130",49,"A",50,1,1,49,"A",50,1,"S",100
"131",49,"A",51,1,1,49,"A",51,1,"S",100
"132",49,"A",52,1,1,49,"A",52,1,"S",100
"133",49,"A",53,1,1,49,"A",53,1,"S",100
"134",49,"A",54,1,0,49,"A",54,1,"S",100
"135",49,"A",55,1,0,49,"A",55,1,"S",100
"136",49,"A",56,1,0,49,"A",56,1,"S",40
"137",49,"A",57,1,0,49,"A",57,1,"S",100
"138",49,"A",58,1,1,49,"A",58,1,"S",100
"139",49,"A",59,1,0,49,"A",59,1,"S",100
"140",49,"A",60,1,0,49,"A",60,1,"S",9
"141",49,"A",61,1,0,49,"A",61,1,"U",20
"142",49,"A",62,1,0,49,"A",62,1,"U",0
"143",49,"A",63,1,0,49,"A",63,1,"U",0
"144",49,"A",64,1,0,49,"A",64,1,"U",10
"145",49,"A",65,1,0,49,"A",65,1,"U",10
"146",49,"A",66,1,1,49,"A",66,1,"U",0
"147",49,"A",67,1,0,49,"A",67,1,"U",0
"148",49,"A",68,1,0,49,"A",68,1,"U",0
"149",49,"A",69,1,0,49,"A",69,1,"U",30
"150",49,"A",70,1,0,49,"A",70,1,"U",20
"151",49,"A",71,1,0,49,"A",71,1,"U",100
"152",49,"A",72,1,0,49,"A",72,1,"U",0
"153",49,"A",73,1,0,49,"A",73,1,"U",0
"154",49,"A",74,1,0,49,"A",74,1,"U",90
"155",49,"A",75,1,0,49,"A",75,1,"U",30
"156",49,"A",76,1,0,49,"A",76,1,"U",10
"157",49,"A",77,1,0,49,"A",77,1,"U",0
"158",49,"A",78,1,0,49,"A",78,1,"U",0
"159",49,"A",79,1,0,49,"A",79,1,"U",0
"160",49,"A",80,1,0,49,"A",80,1,"U",75
"161",57,"A",1,1,1,57,"A",1,1,"F",40
"162",57,"A",2,1,1,57,"A",2,1,"F",79
"163",57,"A",3,1,1,57,"A",3,1,"F",40
"164",57,"A",4,1,1,57,"A",4,1,"F",23
"165",57,"A",5,1,1,57,"A",5,1,"F",32
"166",57,"A",6,1,1,57,"A",6,1,"F",97
"167",57,"A",7,1,0,57,"A",7,1,"F",45
"168",57,"A",8,1,0,57,"A",8,1,"F",1
"169",57,"A",9,1,0,57,"A",9,1,"F",1
"170",57,"A",10,1,1,57,"A",10,1,"F",60
"171",57,"A",11,1,1,57,"A",11,1,"F",40
"172",57,"A",12,1,1,57,"A",12,1,"F",92
"173",57,"A",13,1,0,57,"A",13,1,"F",30
"174",57,"A",14,1,1,57,"A",14,1,"F",23
"175",57,"A",15,1,1,57,"A",15,1,"F",12
"176",57,"A",16,1,1,57,"A",16,1,"F",45
"177",57,"A",17,1,1,57,"A",17,1,"F",70
"178",57,"A",18,1,1,57,"A",18,1,"F",99
"179",57,"A",19,1,1,57,"A",19,1,"F",50
"180",57,"A",20,1,1,57,"A",20,1,"F",99
"181",57,"A",21,1,1,57,"A",21,1,"B",23
"182",57,"A",22,1,0,57,"A",22,1,"B",78
"183",57,"A",23,1,1,57,"A",23,1,"B",23
"184",57,"A",24,1,0,57,"A",24,1,"B",1
"185",57,"A",25,1,1,57,"A",25,1,"B",70
"186",57,"A",26,1,1,57,"A",26,1,"B",43
"187",57,"A",27,1,0,57,"A",27,1,"B",31
"188",57,"A",28,1,0,57,"A",28,1,"B",30
"189",57,"A",29,1,1,57,"A",29,1,"B",51
"190",57,"A",30,1,0,57,"A",30,1,"B",89
"191",57,"A",31,1,1,57,"A",31,1,"B",12
"192",57,"A",32,1,0,57,"A",32,1,"B",90
"193",57,"A",33,1,0,57,"A",33,1,"B",34
"194",57,"A",34,1,0,57,"A",34,1,"B",40
"195",57,"A",35,1,0,57,"A",35,1,"B",67
"196",57,"A",36,1,0,57,"A",36,1,"B",80
"197",57,"A",37,1,0,57,"A",37,1,"B",21
"198",57,"A",38,1,0,57,"A",38,1,"B",26
"199",57,"A",39,1,1,57,"A",39,1,"B",90
"200",57,"A",40,1,1,57,"A",40,1,"B",30
"201",57,"A",41,1,1,57,"A",41,1,"S",99
"202",57,"A",42,1,0,57,"A",42,1,"S",2
"203",57,"A",43,1,1,57,"A",43,1,"S",40
"204",57,"A",44,1,0,57,"A",44,1,"S",10
"205",57,"A",45,1,1,57,"A",45,1,"S",80
"206",57,"A",46,1,1,57,"A",46,1,"S",96
"207",57,"A",47,1,1,57,"A",47,1,"S",90
"208",57,"A",48,1,1,57,"A",48,1,"S",40
"209",57,"A",49,1,1,57,"A",49,1,"S",96
"210",57,"A",50,1,1,57,"A",50,1,"S",60
"211",57,"A",51,1,1,57,"A",51,1,"S",99
"212",57,"A",52,1,1,57,"A",52,1,"S",100
"213",57,"A",53,1,1,57,"A",53,1,"S",37
"214",57,"A",54,1,0,57,"A",54,1,"S",24
"215",57,"A",55,1,1,57,"A",55,1,"S",6
"216",57,"A",56,1,0,57,"A",56,1,"S",95
"217",57,"A",57,1,1,57,"A",57,1,"S",46
"218",57,"A",58,1,1,57,"A",58,1,"S",99
"219",57,"A",59,1,1,57,"A",59,1,"S",54
"220",57,"A",60,1,1,57,"A",60,1,"S",90
"221",57,"A",61,1,0,57,"A",61,1,"U",12
"222",57,"A",62,1,0,57,"A",62,1,"U",12
"223",57,"A",63,1,0,57,"A",63,1,"U",1
"224",57,"A",64,1,1,57,"A",64,1,"U",12
"225",57,"A",65,1,0,57,"A",65,1,"U",9
"226",57,"A",66,1,0,57,"A",66,1,"U",2
"227",57,"A",67,1,0,57,"A",67,1,"U",1
"228",57,"A",68,1,0,57,"A",68,1,"U",3
"229",57,"A",69,1,1,57,"A",69,1,"U",1
"230",57,"A",70,1,0,57,"A",70,1,"U",1
"231",57,"A",71,1,0,57,"A",71,1,"U",12
"232",57,"A",72,1,0,57,"A",72,1,"U",2
"233",57,"A",73,1,0,57,"A",73,1,"U",1
"234",57,"A",74,1,0,57,"A",74,1,"U",1
"235",57,"A",75,1,0,57,"A",75,1,"U",10
"236",57,"A",76,1,0,57,"A",76,1,"U",1
"237",57,"A",77,1,0,57,"A",77,1,"U",1
"238",57,"A",78,1,0,57,"A",78,1,"U",1
"239",57,"A",79,1,0,57,"A",79,1,"U",23
"240",57,"A",80,1,1,57,"A",80,1,"U",1
"241",61,"A",1,1,0,61,"A",1,1,"F",100
"242",61,"A",2,1,1,61,"A",2,1,"F",100
"243",61,"A",3,1,1,61,"A",3,1,"F",50
"244",61,"A",4,1,1,61,"A",4,1,"F",1
"245",61,"A",5,1,1,61,"A",5,1,"F",100
"246",61,"A",6,1,1,61,"A",6,1,"F",100
"247",61,"A",7,1,1,61,"A",7,1,"F",50
"248",61,"A",8,1,0,61,"A",8,1,"F",10
"249",61,"A",9,1,1,61,"A",9,1,"F",100
"250",61,"A",10,1,1,61,"A",10,1,"F",100
"251",61,"A",11,1,0,61,"A",11,1,"F",100
"252",61,"A",12,1,1,61,"A",12,1,"F",100
"253",61,"A",13,1,1,61,"A",13,1,"F",50
"254",61,"A",14,1,1,61,"A",14,1,"F",100
"255",61,"A",15,1,1,61,"A",15,1,"F",100
"256",61,"A",16,1,1,61,"A",16,1,"F",100
"257",61,"A",17,1,1,61,"A",17,1,"F",100
"258",61,"A",18,1,1,61,"A",18,1,"F",100
"259",61,"A",19,1,1,61,"A",19,1,"F",100
"260",61,"A",20,1,1,61,"A",20,1,"F",100
"261",61,"A",21,1,0,61,"A",21,1,"B",35
"262",61,"A",22,1,0,61,"A",22,1,"B",38
"263",61,"A",23,1,1,61,"A",23,1,"B",100
"264",61,"A",24,1,0,61,"A",24,1,"B",20
"265",61,"A",25,1,1,61,"A",25,1,"B",100
"266",61,"A",26,1,1,61,"A",26,1,"B",18
"267",61,"A",27,1,0,61,"A",27,1,"B",15
"268",61,"A",28,1,0,61,"A",28,1,"B",100
"269",61,"A",29,1,1,61,"A",29,1,"B",100
"270",61,"A",30,1,0,61,"A",30,1,"B",10
"271",61,"A",31,1,1,61,"A",31,1,"B",100
"272",61,"A",32,1,0,61,"A",32,1,"B",65
"273",61,"A",33,1,0,61,"A",33,1,"B",25
"274",61,"A",34,1,1,61,"A",34,1,"B",100
"275",61,"A",35,1,0,61,"A",35,1,"B",59
"276",61,"A",36,1,0,61,"A",36,1,"B",100
"277",61,"A",37,1,1,61,"A",37,1,"B",50
"278",61,"A",38,1,0,61,"A",38,1,"B",100
"279",61,"A",39,1,1,61,"A",39,1,"B",80
"280",61,"A",40,1,1,61,"A",40,1,"B",100
"281",61,"A",41,1,1,61,"A",41,1,"S",100
"282",61,"A",42,1,0,61,"A",42,1,"S",100
"283",61,"A",43,1,0,61,"A",43,1,"S",100
"284",61,"A",44,1,0,61,"A",44,1,"S",100
"285",61,"A",45,1,0,61,"A",45,1,"S",60
"286",61,"A",46,1,0,61,"A",46,1,"S",100
"287",61,"A",47,1,1,61,"A",47,1,"S",100
"288",61,"A",48,1,1,61,"A",48,1,"S",19
"289",61,"A",49,1,1,61,"A",49,1,"S",100
"290",61,"A",50,1,0,61,"A",50,1,"S",100
"291",61,"A",51,1,1,61,"A",51,1,"S",100
"292",61,"A",52,1,1,61,"A",52,1,"S",50
"293",61,"A",53,1,1,61,"A",53,1,"S",100
"294",61,"A",54,1,1,61,"A",54,1,"S",100
"295",61,"A",55,1,0,61,"A",55,1,"S",60
"296",61,"A",56,1,0,61,"A",56,1,"S",50
"297",61,"A",57,1,1,61,"A",57,1,"S",100
"298",61,"A",58,1,1,61,"A",58,1,"S",100
"299",61,"A",59,1,1,61,"A",59,1,"S",100
"300",61,"A",60,1,1,61,"A",60,1,"S",100
"301",61,"A",61,1,1,61,"A",61,1,"U",15
"302",61,"A",62,1,0,61,"A",62,1,"U",15
"303",61,"A",63,1,0,61,"A",63,1,"U",25
"304",61,"A",64,1,0,61,"A",64,1,"U",19
"305",61,"A",65,1,0,61,"A",65,1,"U",45
"306",61,"A",66,1,0,61,"A",66,1,"U",25
"307",61,"A",67,1,1,61,"A",67,1,"U",40
"308",61,"A",68,1,0,61,"A",68,1,"U",39
"309",61,"A",69,1,0,61,"A",69,1,"U",15
"310",61,"A",70,1,0,61,"A",70,1,"U",60
"311",61,"A",71,1,0,61,"A",71,1,"U",50
"312",61,"A",72,1,1,61,"A",72,1,"U",25
"313",61,"A",73,1,0,61,"A",73,1,"U",15
"314",61,"A",74,1,0,61,"A",74,1,"U",49
"315",61,"A",75,1,0,61,"A",75,1,"U",10
"316",61,"A",76,1,0,61,"A",76,1,"U",49
"317",61,"A",77,1,0,61,"A",77,1,"U",26
"318",61,"A",78,1,0,61,"A",78,1,"U",45
"319",61,"A",79,1,0,61,"A",79,1,"U",19
"320",61,"A",80,1,0,61,"A",80,1,"U",1
"321",65,"A",1,1,1,65,"A",1,1,"F",2
"322",65,"A",2,1,0,65,"A",2,1,"F",45
"323",65,"A",3,1,1,65,"A",3,1,"F",25
"324",65,"A",4,1,0,65,"A",4,1,"F",0
"325",65,"A",5,1,1,65,"A",5,1,"F",25
"326",65,"A",6,1,0,65,"A",6,1,"F",25
"327",65,"A",7,1,0,65,"A",7,1,"F",60
"328",65,"A",8,1,1,65,"A",8,1,"F",50
"329",65,"A",9,1,1,65,"A",9,1,"F",50
"330",65,"A",10,1,1,65,"A",10,1,"F",25
"331",65,"A",11,1,0,65,"A",11,1,"F",25
"332",65,"A",12,1,1,65,"A",12,1,"F",75
"333",65,"A",13,1,1,65,"A",13,1,"F",25
"334",65,"A",14,1,1,65,"A",14,1,"F",5
"335",65,"A",15,1,1,65,"A",15,1,"F",25
"336",65,"A",16,1,0,65,"A",16,1,"F",25
"337",65,"A",17,1,1,65,"A",17,1,"F",25
"338",65,"A",18,1,1,65,"A",18,1,"F",75
"339",65,"A",19,1,0,65,"A",19,1,"F",25
"340",65,"A",20,1,1,65,"A",20,1,"F",50
"341",65,"A",21,1,0,65,"A",21,1,"B",50
"342",65,"A",22,1,1,65,"A",22,1,"B",45
"343",65,"A",23,1,1,65,"A",23,1,"B",5
"344",65,"A",24,1,0,65,"A",24,1,"B",0
"345",65,"A",25,1,1,65,"A",25,1,"B",50
"346",65,"A",26,1,1,65,"A",26,1,"B",57
"347",65,"A",27,1,1,65,"A",27,1,"B",3
"348",65,"A",28,1,1,65,"A",28,1,"B",50
"349",65,"A",29,1,1,65,"A",29,1,"B",25
"350",65,"A",30,1,0,65,"A",30,1,"B",60
"351",65,"A",31,1,0,65,"A",31,1,"B",0
"352",65,"A",32,1,0,65,"A",32,1,"B",50
"353",65,"A",33,1,1,65,"A",33,1,"B",100
"354",65,"A",34,1,1,65,"A",34,1,"B",100
"355",65,"A",35,1,0,65,"A",35,1,"B",0
"356",65,"A",36,1,0,65,"A",36,1,"B",50
"357",65,"A",37,1,1,65,"A",37,1,"B",50
"358",65,"A",38,1,1,65,"A",38,1,"B",50
"359",65,"A",39,1,1,65,"A",39,1,"B",50
"360",65,"A",40,1,1,65,"A",40,1,"B",50
"361",65,"A",41,1,1,65,"A",41,1,"S",50
"362",65,"A",42,1,0,65,"A",42,1,"S",50
"363",65,"A",43,1,0,65,"A",43,1,"S",5
"364",65,"A",44,1,1,65,"A",44,1,"S",27
"365",65,"A",45,1,0,65,"A",45,1,"S",25
"366",65,"A",46,1,0,65,"A",46,1,"S",75
"367",65,"A",47,1,1,65,"A",47,1,"S",100
"368",65,"A",48,1,0,65,"A",48,1,"S",25
"369",65,"A",49,1,1,65,"A",49,1,"S",75
"370",65,"A",50,1,0,65,"A",50,1,"S",65
"371",65,"A",51,1,1,65,"A",51,1,"S",50
"372",65,"A",52,1,1,65,"A",52,1,"S",75
"373",65,"A",53,1,1,65,"A",53,1,"S",25
"374",65,"A",54,1,0,65,"A",54,1,"S",25
"375",65,"A",55,1,1,65,"A",55,1,"S",75
"376",65,"A",56,1,0,65,"A",56,1,"S",60
"377",65,"A",57,1,1,65,"A",57,1,"S",75
"378",65,"A",58,1,1,65,"A",58,1,"S",75
"379",65,"A",59,1,1,65,"A",59,1,"S",100
"380",65,"A",60,1,1,65,"A",60,1,"S",75
"381",65,"A",61,1,0,65,"A",61,1,"U",0
"382",65,"A",62,1,0,65,"A",62,1,"U",0
