Subject,Block,ListNum,cue_target,cue_target,Task,RT,Direction
2,1,49,Earth - Ground,Earth ,JOL,2104,S
2,1,50,Alone - Lonely,Alone ,JOL,6348,S
2,1,51,Dry - Wet,Dry ,JOL,2958,S
2,1,52,Safety - Seatbelt,Safety ,JOL,3955,S
2,1,53,Truth - Lie,Truth ,JOL,1031,S
2,1,54,Phone - Communication,Phone ,JOL,4651,S
2,1,55,Rod - Reel,Rod ,JOL,3847,S
2,1,56,Flea - Tick,Flea ,JOL,2163,S
2,1,57,Loud - Noise,Loud ,JOL,1310,S
2,1,58,Own - Have,Own ,JOL,4472,S
2,1,59,Tantrum - Temper,Tantrum ,JOL,3724,S
2,1,60,Sun - Tan,Sun ,JOL,2241,S
2,1,61,Justice - Maroon,Justice ,JOL,1392,U
2,1,62,Stretch - Cloth,Stretch ,JOL,3813,U
2,1,63,Give - Steak,Give ,JOL,3555,U
2,1,64,Maze - Election,Maze ,JOL,2600,U
2,1,65,Meat - Obtain,Meat ,JOL,1622,U
2,1,66,Crackle - Able,Crackle ,JOL,4727,U
2,1,67,Shell - Snake,Shell ,JOL,3162,U
2,1,68,Listen - Fiction,Listen ,JOL,1990,U
2,1,69,Keys - Joke,Keys ,JOL,1690,U
2,1,70,Cake - Clothes,Cake ,JOL,5148,U
2,1,71,Name - Hate,Name ,JOL,2975,U
2,1,72,Fuzzy - Bang,Fuzzy ,JOL,1790,U
2,1,73,Moat - Clear,Moat ,JOL,4703,U
2,1,74,Lease - Toil,Lease ,JOL,5876,U
2,1,75,Loan - Sign,Loan ,JOL,2709,U
2,1,76,Both - Ounce,Both ,JOL,4172,U
2,1,77,Temperature - Morning,Temperature ,JOL,142,U
2,1,78,Mirror - Children,Mirror ,JOL,5020,U
2,1,79,Main - Scar,Main ,JOL,3444,U
2,1,80,Charm - Vehicle,Charm ,JOL,2196,U
2,2,1,Delinquent - Bad,Delinquent ,JOL,4974,F
2,2,2,Digestion - Stomach,Digestion ,JOL,3563,F
2,2,3,Wage - Money,Wage ,JOL,8491,F
2,2,4,Chisel - Hammer,Chisel ,JOL,3282,F
2,2,5,Editor - News,Editor ,JOL,3826,F
2,2,6,Hornet - Sting,Hornet ,JOL,2645,F
2,2,7,Bitter - Cold,Bitter ,JOL,8541,F
2,2,8,Root - Plant,Root ,JOL,4932,F
2,2,9,Swan - Bird,Swan ,JOL,3895,F
2,2,10,Paw - Dog,Paw ,JOL,2375,F
2,2,11,Way - Out,Way ,JOL,5413,F
2,2,12,Hygiene - Clean,Hygiene ,JOL,5543,F
2,2,13,Bridge - Water,Bridge ,JOL,3628,F
2,2,14,Geology - Rock,Geology ,JOL,2241,F
2,2,15,Revolution - War,Revolution ,JOL,7644,F
2,2,16,Discussion - Talk,Discussion ,JOL,2938,F
2,2,17,Herd - Cow,Herd ,JOL,3088,F
2,2,18,Credit - Card,Credit ,JOL,2403,F
2,2,19,Orchid - Flower,Orchid ,JOL,7997,F
2,2,20,Tuna -  Fish,Tuna ,JOL,4457,F
2,2,21,Full - Enough,Full ,JOL,3158,B
2,2,22,Drink - Sip,Drink ,JOL,2821,B
2,2,23,Dark - Cave,Dark ,JOL,8315,B
2,2,24,Take - Seize,Take ,JOL,5583,B
2,2,25,Height - Growth,Height ,JOL,2820,B
2,2,26,Sentence - Word,Sentence ,JOL,1792,B
