JOL_Bin,Direction,n,Average,CI,Lower,Upper
0,B,28,28.5714286,16.1947526,12.376676,44.7661812
10,B,27,21.60493827,12.74384798,8.861090287,34.34878625
20,B,14,20.41446207,14.98982286,5.424639203,35.40428493
30,B,28,25.621118,15.52290481,10.09821319,41.14402281
40,B,23,26.4951385,16.56185498,9.933283523,43.05699348
50,B,79,27.53680517,15.14142687,12.3953783,42.67823203
60,B,32,31.0670913,16.08068559,14.98640571,47.14777689
70,B,39,31.90438033,17.54183541,14.36254492,49.44621574
80,B,64,34.62615453,15.67069841,18.95545613,50.29685294
90,B,122,34.95341917,16.99540931,17.95800986,51.94882848
100,B,269,42.0074349,17.40737193,24.60006297,59.41480683
0,F,34,55.8823529,17.74194488,38.14040802,73.62429778
10,F,29,57.52642253,17.90221866,39.62420387,75.4286412
20,F,19,55.56563823,16.81161643,38.7540218,72.37725467
30,F,14,64.4736842,18.26575259,46.20793161,82.73943679
40,F,16,64.16666667,15.74309883,48.42356784,79.9097655
50,F,80,71.3095238,16.59205733,54.71746647,87.90158113
60,F,35,68.2953394,16.13510324,52.16023616,84.43044264
70,F,47,67.12867273,16.86118981,50.26748292,83.98986255
80,F,75,65.99674457,17.01105442,48.98569015,83.00779898
90,F,122,69.12204007,16.48443149,52.63760858,85.60647156
100,F,300,75.3333333,15.20019229,60.13314101,90.53352559
0,S,28,29.1666667,16.34478325,12.82188345,45.51144995
10,S,27,39.8809524,18.01552498,21.86542742,57.89647738
20,S,7,40.15873017,18.81660215,21.34212802,58.97533231
30,S,28,44.57556937,17.00449025,27.57107911,61.58005962
40,S,23,51.40096617,18.01552498,33.38544119,69.41649114
50,S,60,62.7342995,17.1071133,45.6271862,79.8414128
60,S,25,60.5,17.24570074,43.25429926,77.74570074
70,S,39,60.81746033,17.7257121,43.09174823,78.54317244
80,S,70,56.15079367,16.98939525,39.16139841,73.14018892
90,S,130,59.95612337,17.66941006,42.28671331,77.62553342
100,S,369,65.5826558,16.74741087,48.83524493,82.33006667
0,U,167,12.5748503,11.70709171,0.867758591,24.28194201
10,U,151,13.12956133,11.16395251,1.965608821,24.29351385
20,U,45,9.5227399,12.90278462,-3.380044722,22.42552452
30,U,57,14.4656327,4.662703477,9.802929223,19.12833618
40,U,27,14.34373863,16.85198052,-2.508241887,31.19571915
50,U,79,15.61079517,11.27386726,4.336927905,26.88466243
60,U,18,12.47069857,12.71576233,-0.245063762,25.1864609
70,U,12,12.962963,8.297341617,4.665621383,21.26030462
80,U,12,13.6752137,13.70260872,-0.027395021,27.37782242
90,U,130,19.23076923,13.70260872,5.528160513,32.93337795
100,U,33,33.3333333,9.416712603,23.9166207,42.7500459
