Cue,Target,Concrete_1,Logsub_1,length_1,Concrete_2,Logsub_2,Length_2,Direction
BALL,RACKET,6.08,3.7287,4,6.15,2.5798,6,B
WORK,CHORE,3.88,4.6096,4,4.53,1.716,5,B
HUNGER,FAMINE,4.16,2.4786,6,3.71,1.9138,6,B
SLEEP,DROWSY,4.74,4.0654,5,NA,1.5798,6,B
SMELL,STENCH,4.4,3.6275,5,3.68,2.0569,6,B
CLOTHES,ATTIRE,6.63,3.7126,7,NA,1.8865,6,B
PLANE,PILOT,5.31,3.6878,5,5.95,3.1339,5,B
FIRE,BLAZE,6.13,4.041,4,4.97,2.0334,5,B
DUE,ASSIGNMENT,NA,3.3572,3,NA,2.9605,10,S
NUMBER,AMOUNT,3.76,4.0895,6,3.62,3.1014,6,S
LOCATION,SITE,NA,3.1017,8,4.5,2.9917,4,S
DUMP,WASTE,3.36,3.1676,4,3.76,3.4341,5,S
TRIAL,JURY,4.92,3.4012,5,6.17,3.3389,4,S
ARCHITECTURE,DESIGN,NA,2.2122,12,4.13,2.9175,6,S
GRILL,BAR,NA,2.3579,5,6.4,3.6421,3,S
KIDNEY,LIVER,NA,2.6946,6,6.11,2.8633,5,S
BEGIN,END,2.38,3.4634,5,3.16,4.1323,3,S
BLOW,WIND,3.88,3.697,4,5.4,3.4813,4,S
POP,SODA,3,3.5368,4,5.96,3.0056,6,S
WINE,CHEESE,6.4,3.4884,4,6.14,3.2993,6,S
BATHROOM,TOILET,NA,3.4978,8,6.4,3.1688,6,S
LETTUCE,SALAD,5.67,2.2405,7,6.83,2.939,5,S
SHOE,FOOT,5.96,3.1906,4,3.46,3.5201,4,S
PAST,FUTURE,2.86,3.8002,4,2.35,3.7226,6,S
MEANING,DEFINITION,2.05,3.2799,7,3.58,2.4728,10,S
HONEY,BEE,5.91,4.1854,5,5.93,2.7235,3,S
BABY,CHILD,5.77,4.4146,4,5.72,3.9053,5,S
CIRCLE,ROUND,5.14,3.0406,6,4.34,3.5307,5,S
PUSHER                   ,CLUTTER                  ,NA,1.8129,6,NA,1.6902,7,U
DIETARY                  ,SACKING                  ,NA,1.2788,7,NA,0.9542,7,U
PARK,HUNGRY,5.45,3.5657,4,4.24,3.5946,5,U
LIFT,WOMAN,3.7,3.241,4,5.68,4.3457,5,U
SOON,BELT,2.54,4.1186,4,5.98,3.0945,4,U
DISCOVER,FLOOR,3.25,2.7889,8,5.47,3.7104,5,U
Death,Business,3.86,4.0434,5,4.05,4.2141,8,U
DEBATE,SIGHT,2.5,2.6767,6,3.84,3.364,5,U
ARTERY                   ,BRONZE                   ,6.28,2.4346,6,6.57,2.1584,6,U
FIX,HAND,3.1,3.6461,3,5.6,4.1542,4,U
MACHINE,POSITION,6.75,3.5544,7,3.31,3.5655,8,U
HAPPY,CAR,3.51,4.2303,5,6.35,4.3916,3,U
ALLOW                    ,TUCK                     ,2.64,3.3549,5,NA,2.6096,4,U
ART,LION,4.36,3.5577,3,6.14,2.8943,4,U
STRONG,ACCIDENT,3.24,3.6465,6,4.26,3.6177,8,U
SUGAR,RIDDLE,6.35,3.2849,5,3.95,2.3655,6,U
VALLEY,ADD,6.66,3.1059,6,2.95,3.2271,3,U
CASH                     ,WOULD                    ,6.28,3.5676,4,NA,4.955,5,U
HIDE                     ,SICK                     ,5.45,3.5508,4,3.89,3.9262,4,U
